row_id,split,term_zh,explanation_zh,meaning_en,equivalent_en,distractor_literal_en,distractor_cultural_mismatch_en,distractor_pragmatic_neighbor_en,harmful_label,category_label
2217,train,各位爸爸们,有求于人时故意放低姿态、讨好对方。,"A jokingly self-deprecating way to address others when asking for a favor, deliberately lowering one's status and flattering them to beg for help.","help me, kings","dear dads, everyone",OK boomer,pretty please,non-harmful,Quotation
2218,test,直呼内行,表面夸专业，实际常讽刺看似专业但很离谱。,"It is used to sarcastically call something “expert-level,” often pretending to praise someone’s skill or professionalism while actually mocking how absurd, misguided, or ridiculously overconfident it is.",experts would be impressed—sarcastically,directly call someone an expert,hold my beer,big brain move,non-harmful,Experience
2219,train,请问哪里能买到您的著作,赞美某人评论精彩，调侃值得出书。,"This phrase jokingly praises someone’s comment as exceptionally insightful or entertaining, implying it is so well written that it deserves to be collected, published, and sold as a book.",This comment deserves to be published,Which bookstore sells your books?,Thanks for coming to my TED Talk,Take my money,non-harmful,Stylistic device
2220,train,平地摔,在没有障碍的平地上摔倒，常用于形容可爱、冒失或天然呆。,"It describes someone tripping or falling on flat ground for no obvious reason, usually framed as endearingly clumsy, innocent, or cute rather than seriously careless.",trip over air,flatland tumble,slip on a banana peel,faceplant,non-harmful,Quotation
2221,train,猴子不能出痛苦面具,形容一些不合逻辑、无意义或不合情理的事情。,"It describes something so illogical, meaningless, or unreasonable that it makes no sense at all, often used to react to a situation that feels absurd or impossible to understand.",that makes zero sense,the monkey cannot make a pain mask,"monkey see, monkey do",skill issue,non-harmful,Quotation
2222,train,企鹅肉,形容双方沟通不在一个频道上，一方认真另一方乱回。,"It describes a conversation where two people are completely not on the same wavelength, with one person responding seriously while the other replies randomly or misses the point entirely.",talking past each other,penguin meat,the elephant in the room,lost in translation,non-harmful,Quotation
2223,train,你是来拉屎的吧,调侃或讽刺某人的行为、目的很离谱。,"Used jokingly or sarcastically to mock someone whose arrival or actions seem absurd, pointless, or suspicious, implying they showed up for no sensible reason.",what are you even here for,did you come here just to use the toilet,"sir, this is a Wendy's",touch grass,harmful,Quotation
2224,train,已经问过了烤串是好吃的,调侃对某人真正需求的忽视或故意回避。,"It means missing the real point of what someone wants, often by answering a superficial or irrelevant part of the request while ignoring or deliberately avoiding the person’s actual need.",you’re missing what I actually asked for,"already asked, the kebab is tasty","sir, this is a Wendy's",read the room,non-harmful,Quotation
2225,test,你可能小赚但我永远不亏,在不利局面中强行解释自己不亏，自我安慰。,"It describes someone in a disadvantageous or losing situation who insists on reframing a loss as somehow not a loss, often as a way to comfort themselves or save face.",copium,"you may profit a little, but I never lose",I took an arrow to the knee,looking on the bright side,non-harmful,Quotation
2226,train,我tm问你了吗,对未经请求的插话、建议或回答表示不满。,"It is a rude comeback used to snap at someone for giving an unwanted answer, comment, or suggestion when they were not asked to speak.",Did I fucking ask you?,I fucking asked you,bless your heart,mind your own business,harmful,Experience
2227,test,一天最多三句话,戏谑式表达生气、闹别扭或半开玩笑绝交。,"It jokingly means that after feeling upset, annoyed, or playfully offended, someone claims they will only allow very limited communication, as if temporarily sulking or pretending to cut ties.",You only get three sentences from me today,"three words a day, max",I'm putting you in the friend zone,I'm giving you the silent treatment,non-harmful,Quotation
2228,train,这是加分项,对某事表示肯定或安慰，说它能增加好感。,"This phrase is used to affirm or comfort someone by saying that a particular quality, action, or detail counts as a bonus point that increases approval or makes a better impression.",that’s a plus,this is an extra-credit item,this makes it better,brownie points,non-harmful,Quotation
2229,train,尬到我脚趾抓地,形容极度尴尬、羞耻到脚趾都蜷缩。,"It means feeling extreme secondhand embarrassment, as if a painfully awkward or shameful moment is so cringe-inducing that your whole body tenses up.",toe-curlingly embarrassing,my toes are gripping the floor,butterflies in my stomach,awkward silence,non-harmful,Stylistic device
2230,train,一起爬山吗,表面邀约爬山，实际暗含危险、威胁或背叛意味。,"It refers to a seemingly harmless invitation with threatening undertones, where a casual proposal to go hiking is understood as hinting at danger, betrayal, or an implied threat rather than a friendly activity.",this sounds like a dangerous invitation,want to climb a mountain together,wanna go hiking,red flag,harmful,Quotation
2231,train,企业级理解,一本正经但明显错误、离谱的理解。,"A confidently wrong interpretation delivered with a serious, professional-sounding tone, where someone acts certain and analytical while their understanding is clearly mistaken, absurd, or far removed from the actual meaning.",confidently wrong interpretation,enterprise-level understanding,Fortune 500 mindset,overthinking it,non-harmful,Quotation
2232,test,在一声声靓仔中迷失了自我,因不断被叫“靓仔”而误以为自己真很帅。,"It means getting carried away by repeated compliments, especially when being called handsome so often that someone starts believing the praise too much and loses perspective.",let the “handsome guy” compliments go to his head,got literally lost after someone shouted “handsome guy”,catcalled on the street,main character energy,non-harmful,Experience
2233,train,小白船,因《隐秘的角落》而带有阴森、不祥意味的童谣梗。,"It refers to a children’s song that, because of its association with a suspense drama, has become a creepy omen suggesting something eerie, ominous, or dangerous is about to happen.",a creepy children's song that signals danger,little white boat,the Jaws theme,creepy lullaby,non-harmful,Quotation
2234,test,我还有机会吗,调侃某事希望渺茫或几乎没机会。,"“Am I still in with a chance?” is used to ask whether there is still any hope, usually ironically, when the speaker knows the situation looks hopeless or the chance of success is extremely slim.",Do I still have a shot?,I still have a chance,May the odds be ever in your favor,This is your last chance,non-harmful,Quotation
2235,train,提桶进厂,工人频繁换厂打工的调侃说法。,"It jokingly describes a worker frequently changing factory jobs, imagined as carrying a bucket from one workplace to the next while moving on to another factory.",factory-hopping,carry a bucket into the factory,climb the corporate ladder,blue-collar grind,non-harmful,Experience
2236,train,罗玉龙,对罗永浩的调侃性绰号，暗示吹牛、炒作等相似特征。,"“Luo Yulong” is a mocking nickname for Luo Yonghao, used to suggest a persona associated with exaggeration, hype, and self-promotion.",mocking nickname for Luo Yonghao as a hype-prone self-promoter,Luo Jade Dragon,a Chinese-style nickname for Elon Musk fans,hype man,harmful,Experience
2237,train,滑铲杀虎,讽刺极其夸张、不切实际的战斗或操作。,"It describes an absurdly impossible heroic move, mocking wildly exaggerated claims of combat skill or action that are so unrealistic they sound like fantasy rather than something anyone could actually do.",an absurdly impossible combat move,a legal slide tackle in soccer,David versus Goliath,movie stunt bravado,non-harmful,Quotation
2238,train,人性的扭曲还是道德的沦丧,夸张质问某事荒谬或离谱，用于搞笑和讽刺。,"A melodramatic rhetorical question used to mock something absurd or outrageous, jokingly asking whether it reflects a distortion of human nature or a collapse of morality.",what has humanity come to?,twisted humanity and fallen morals,the end is nigh,society is doomed,non-harmful,Quotation
2239,train,朱晶晶踩你的小白鞋,形容最后的嚣张挑衅，提醒别太得意忘形。,"It describes a last, petty act of arrogance or provocation by someone who is still acting smug, even though consequences are about to catch up with them.",don’t push your luck,Zhu Jingjing steps on your white sneakers,a white-shoe firm,poke the bear,non-harmful,Quotation
2240,train,fbi open the door,警告或调侃内容不当、涉黄或过界，像被 FBI 发现。,"A joking warning used when someone posts inappropriate, sexual, or over-the-line content, implying that the authorities have noticed and are about to intervene.","FBI, open up",FBI open the door,you are being caught for inappropriate content,"bonk, go to horny jail",non-harmful,Quotation
2241,train,正版打野,原指正式打野选手，后带有反讽和自嘲意味。,"An ironic or self-deprecating label for the “official” jungler, often used to mock someone who is supposedly the proper jungle player but may perform poorly or be treated jokingly as legitimate.","the official jungler, ironically",licensed jungler,the chosen jungler,jungle diff,non-harmful,Experience
2242,train,陈养鱼许放炮梁海王,对《三十而已》中三位男性角色的讽刺性昵称总结。,"This phrase is a sarcastic set of nicknames summarizing three problematic male characters in the drama Nothing but Thirty, mocking their flaws and relationship behavior.","Chen the fish-obsessed husband, Xu the fireworks cheater, Liang the serial player","Chen raises fish, Xu fires cannons, Liang is Sea King",the three sworn brothers from Water Margin,three cheating husbands,non-harmful,Experience
2243,test,懂的都懂,暗示信息不便明说，懂的人自然懂。,The phrase implies that certain information is deliberately left unstated because people familiar with the context or inside knowledge will understand the intended meaning without further explanation.,"if you know, you know",those who understand all understand,insiders know what this means,you had to be there,non-harmful,Experience
2244,train,横扫鸡饿,对“横扫饥饿”的谐音恶搞，用于搞笑场景。,"A Snickers slogan pun turned into a chicken joke, used in funny contexts by swapping the original hunger-related phrase with a similar-sounding wording that makes it absurdly about chickens.",a chicken pun on 'sweep away hunger',sweep away chicken hunger,Got milk?,Hungry? grab a Snickers,non-harmful,Homophonic pun
2245,train,希望你不要不识抬举,请求帮助时带玩笑威胁，表示“别不识好歹”。,"It is a jokingly threatening way to tell someone to accept the request, implying that refusing would be ungrateful, unreasonable, or failing to appreciate the “favor” being offered.",I hope you know what’s good for you,hope you do not fail to appreciate promotion,please do not reject my request,pretty please,non-harmful,Quotation
2246,train,妈妈的好大儿,亲昵称赞某人或宠物可爱、乖巧、令人宠溺。,"An affectionate phrase meaning “mommy’s good boy,” used to fondly praise a person or pet as cute, well-behaved, lovable, and worthy of doting attention.",mommy’s good boy,mom’s good big son,cute affectionate praise,good boy energy,non-harmful,Quotation
2247,train,歪嘴战神,爽文男主反转前露出的邪魅歪嘴笑。,"A smirking overpowered male lead before a power reveal, typically marked by a crooked, smug grin just before he reverses the situation and shows his hidden strength in a wish-fulfillment story.",smirking overpowered male lead before a power reveal,crooked-mouth war god,Chad face,main character energy,non-harmful,Experience
2248,train,住在山里真不错,表达对生活环境满意的搞笑短语。,"This phrase jokingly says that living in the mountains is nice, expressing playful satisfaction with one’s living environment or a humorous sense of contentment about a quiet, remote lifestyle.",mountain life hits different,living inside a mountain cave is acceptable,concrete jungle vibes,cabin fever,non-harmful,Quotation
2249,train,孩子死了来奶了,事情已无法挽回时才迟迟补救。,"It means help or a remedy arrives only after the situation is already beyond saving, making the belated action useless despite coming in response to the problem.","too little, too late",the child died and the milk came,crying over spilled milk,better late than never,non-harmful,Quotation
2250,train,眨眼补帧,游戏或视频卡顿时，调侃靠眨眼“补帧”。,"This meme jokingly describes “fixing” laggy gameplay or choppy video by blinking, as if closing and opening your eyes could mentally fill in the missing frames.",blink to fill in the missing frames,blink-and-frame repair,soap opera effect,just upgrade your GPU,non-harmful,Experience
2251,train,变身盖亚,情绪崩溃或愤怒时发出像奥特曼变身般的吼声。,It describes someone exploding with rage or emotional breakdown and letting out a dramatic scream like the transformation shout of an Ultraman-style hero.,doing an Ultraman-style transformation scream in rage,transform into Gaia,going Super Saiyan,letting out a frustration scream,non-harmful,Experience
2252,train,现已加入肯德基豪华午餐,万能搞笑回复，尤其用于食物相关场景。,"An absurd food-related meme reply used as a versatile joke response, especially in discussions about meals, snacks, or anything that can be humorously framed as part of an over-the-top fast-food lunch.",now added to the KFC deluxe lunch,KFC deluxe lunch menu,put it in a Happy Meal,that's a value meal,non-harmful,Quotation
2253,train,脑补型恋爱,一方过度幻想、理想化对方的自我感动式恋爱。,"An imagined romance based on one-sided fantasy, where someone idealizes another person, invents emotional intimacy in their own mind, and feels moved by a relationship that largely exists only in their imagination.",one-sided fantasy romance,brain-filled romance,Romeo-and-Juliet romance,unrequited love,non-harmful,Experience
2254,train,战歌起,热血 BGM 开始，暗示战斗或高潮即将到来。,"“Hype battle music starts playing” means an intense, energizing soundtrack seems to kick in, signaling that a fight, dramatic confrontation, or climactic moment is about to begin.",the battle theme kicks in,war song rises,the national anthem starts playing,victory music starts playing,non-harmful,Experience
2255,train,你懂个泡泡茶壶,“你懂个jb”的委婉谐音，表示对方不懂。,"A euphemistic insult meaning “you know nothing,” used to dismiss someone’s opinion by implying they are clueless while softening a cruder original phrase through playful sound substitution.",you don’t know jack,"what do you know, bubble teapot",you do not understand this at all,skill issue,non-harmful,Quotation
2256,test,摆烂,放弃努力，任由事情变坏。,"It means giving up and letting things fall apart, often by stopping any effort to improve a bad situation and simply allowing the outcome to worsen.",let it rot,set it rotten,YOLO,quiet quitting,non-harmful,Experience
2257,train,社恐牛逼症,平时社恐，但特定需求下突然社交能力爆发。,"It describes someone who is usually socially anxious, but when a specific goal or need depends on interaction, their anxiety suddenly disappears and they become surprisingly confident and capable in social situations.",goal-driven situational extrovert,social anxiety badass syndrome,Clark Kent turns into Superman,introvert pretending to be outgoing,non-harmful,Experience
2258,train,new一个对象,程序员式调侃，希望像写代码一样创建对象/对象。,"A programmer-style joke that treats getting a romantic partner like instantiating an object in code, wishing one could simply use `new` to create a boyfriend or girlfriend.",instantiate a romantic partner,new an object,summon a soulmate with a magic spell,compile a girlfriend,non-harmful,Stylistic device
2259,test,演的吧,质疑短视频内容是摆拍，不是真实发生。,"Used to question whether a short video is staged rather than real, implying that the scene was acted out or faked for attention instead of happening naturally.","This is staged, right?",is it performed,reality TV drama,fake news,non-harmful,Experience
2260,train,为什么不ban猛犸,泛指明知道某个隐患、对手杀手锏、关键风险点，却刻意不做防范，最后栽在同一个问题上，用来质问决策者疏漏、托大、忽视明显漏洞。,"It means questioning why a decisive hero was not banned, criticizing decision-makers for ignoring an obvious threat or key risk and then losing because of the very problem they failed to prevent.",why didn’t they ban Magnus,why not ban the mammoth,why didn’t they nerf the boss,bad draft,non-harmful,Quotation
2261,test,抢五杀,队友抢走最后一击，导致玩家没拿到五杀。,"It refers to a teammate stealing the final kill that would complete a pentakill, preventing the player from getting credit for all five kills in a single streak.",stole my pentakill,steal five kills,stole my chicken dinner,kill secure,non-harmful,Experience
2262,test,完结撒花,作品完结时用于庆祝、纪念或调侃。,"“Throwing flowers at the finale” is used to celebrate, commemorate, or playfully joke about the end of a work such as a series, story, show, or project.",that’s a wrap,ending with flowers scattered,the work has finally ended,roll credits,non-harmful,Experience
2263,train,牛顿气活了,场景太离谱，仿佛违背物理规律。,"It describes something so absurd it seems to violate physics, as if the situation is outrageously unrealistic enough to offend the basic laws of motion and reality themselves.",so physics-defying it would make Newton rise from his grave,Newton got angry back to life,Murphy's Law strikes again,that escalated quickly,non-harmful,Stylistic device
2264,train,你喜欢银杏吗,借“银杏”谐音暗戳戳表白，银为有你，三生有杏，我喜欢银杏，也喜欢你。。,"This phrase is a coded romantic confession that uses a pun on liking ginkgo to indirectly say “I like you,” making the declaration feel playful, subtle, and less openly embarrassing.",a punny coded way to say “I like you”,Do you like ginkgo?,a four-leaf clover for good luck,asking someone out on a date,non-harmful,Quotation
2265,train,我听见雨滴落在青青草地,隐晦指代被戴绿帽。,"This phrase is used as an indirect, joking way to hint that someone has been cheated on, especially by alluding to the idea of being made a cuckold without saying it directly.",you got cucked,I heard raindrops falling on green grass,wearing green for St. Patrick's Day,green with envy,non-harmful,Quotation
2266,train,你惨了你坠入爱河了,调侃某人已经陷入恋爱。,"A playful way to tease someone who has clearly fallen in love, suggesting they are now hopelessly caught up in romantic feelings and can no longer act unaffected.",you’re doomed—you’ve caught feelings,you fell into the river of love,you drank a love potion,love is in the air,non-harmful,Quotation
2267,train,网络街溜子,在各类网络平台之间无目的闲逛的人。,"A person who drifts aimlessly across different websites, apps, or social platforms, browsing here and there without any clear goal, task, or reason for being online.",internet drifter,internet street loafer,aimlessly browsing online,terminally online,non-harmful,Experience
2268,train,我将以高达形态出击,中二式宣言，表示以强大形态出场或行动。,"It means dramatically announcing that you are entering the scene or taking action in an over-the-top heroic mecha style, as if launching in a powerful giant robot form.",Launching in Gundam mode!,I will attack the Gundam,"Avengers, assemble!",main character energy,non-harmful,Quotation
2269,test,什么封把您吹来了,调侃对方是被封面吸引进来的。,"It jokingly teases someone for being drawn in by the cover image or thumbnail, implying they clicked mainly because the cover caught their attention.","came for the thumbnail, huh",what seal blew you here,don't judge a book by its cover,fell for clickbait,non-harmful,Homophonic pun
2270,train,嗨害嗨,魔性打招呼或引起注意的口头梗。,"A catchy meme greeting used in a playful, attention-grabbing way, often repeated for its silly rhythm and infectious sound rather than for any deeper meaning.",a catchy playful meme greeting,hi harm hi,aloha vibes,hey besties,non-harmful,Quotation
2271,train,国宴,形容游戏操作极烂，像顶级“下饭菜”。,"It describes top-tier terrible gameplay that is fun to watch, where someone’s awful moves are so entertainingly bad that viewers enjoy the failure like a premium feast of amusing mistakes.",a feast of throws,state banquet,extremely bad gameplay,skill issue,non-harmful,Stylistic device
2272,train,大冤种,自嘲或调侃倒霉、吃亏、很傻的人。,"A poor unlucky sucker is someone jokingly or self-deprecatingly described as foolish, unfortunate, or taken advantage of, often because they ended up suffering a loss or bad luck in a situation.",poor unlucky sucker,big wronged seed,Karen,clown moment,non-harmful,Slang
2273,train,95加满,调侃油价高、加满油很奢侈。,"It jokingly refers to the strain of high gasoline prices, treating the act of filling up a tank with premium fuel as an expensive luxury and a sign of financial pressure.",filling up with premium is a luxury,fill up to 95 percent,five-dollar gas station coffee,rich people problems,non-harmful,Experience
2274,train,世界上有五种辣,土味情话谐音，用“我想你辣”表达想念。,"A cheesy pun-based line that plays on the sound of “spicy” to express “I miss you,” usually used as a playful or corny romantic message.","I miss you, spicy pun intended",there are five kinds of spicy,I miss you through a pun,cheesy pickup line,non-harmful,Homophonic pun
2275,train,网易云八级,调侃网易云音乐重度用户、有故事、很 emo。,"A certified sad music listener refers to someone jokingly seen as a heavy NetEase Cloud Music user, full of emotional stories and prone to an overly melancholic, emo mood.",certified NetEase Cloud sad-music addict,NetEase Cloud Level 8,Spotify Wrapped overachiever,emo kid,non-harmful,Experience
2276,train,痛失韩国市场,调侃因某手势或表达在韩国引发争议而被抵制。,"Used jokingly to say that someone has “lost the Korean market” after a gesture, phrase, or expression sparks controversy in South Korea and supposedly leads to backlash or boycotts there.",lost the Korean market,painfully missing Korea,K-pop boycott,got canceled online,non-harmful,Experience
2277,train,没说就是零卡,调侃未标明热量就当作零卡。,"It jokes about pretending that any food without a clearly labeled calorie count must have zero calories, usually as a playful excuse to enjoy it guilt-free.","if the calories aren’t listed, they don’t count","if nobody says it, it has zero cards",free refills have no calories,diet starts tomorrow,non-harmful,Quotation
2278,train,比比安慕希,对《Beep Beep I’m a Sheep》的中文空耳。,"This phrase is a Chinese phonetic mishearing of the English lyric “Beep Beep I’m a Sheep,” used humorously because the borrowed sounds resemble an unrelated Chinese-sounding expression.",Beep Beep I’m a Sheep,compare Anmuxi,misheard catchy lyric,earworm,non-harmful,Homophonic pun
2279,train,我奶奶会后空翻,用无厘头理由邀请别人来家里。,"It means using an absurd or random pretext, like claiming a grandmother can do a backflip, as a silly excuse to invite someone over.",a silly excuse to invite someone over,grandma's backflip routine,pics or it didn't happen,Netflix and chill,non-harmful,Experience
2280,train,万物皆可钝角,用“钝角”指代无法解释但可玩梗的困惑事物。,"It means using “obtuse angle” as a deliberately nonsensical meme answer for confusing or unexplainable things, turning bafflement itself into a joke rather than offering a real explanation.",anything can be an obtuse angle,all things are blunt corners,42 is the answer to everything,"no thoughts, head empty",non-harmful,Quotation
2281,train,emoha,emo 与 haha 结合，形容悲伤和开心来回切换。,"“Emoha” describes a mood that rapidly flips back and forth between feeling sad or emotionally down and laughing or acting cheerful, capturing the mixed state of switching between sadness and laughter.",mood whiplash between sadness and laughter,emo plus ha-ha,crying in the club,laughing through the pain,non-harmful,Abbreviation
2282,train,我的哑巴新娘,形容外貌美丽但一开口反差很大。,"It describes someone who looks beautiful and appealing at first, but creates a jarring contrast once they start talking, making people feel they were more attractive when silent.",perfect until they speak,my mute bride,Beauty and the Beast,butterface,harmful,Stylistic device
2283,test,声微饭否,“大声点！没吃饭吗？”的文言式缩写。,"A mock-classical shorthand for “speak louder, didn’t you eat?”, used to tease someone for speaking too quietly or sounding too weak to be heard clearly.","speak up, did you not eat","is your voice weak, have you eaten",speak louder,use your indoor voice,non-harmful,Abbreviation
2284,test,德华,假期里帮亲戚照顾孩子的大学生。,"A college student stuck babysitting relatives’ kids during a holiday, often implying they were drafted into unpaid childcare for family instead of enjoying their own break.",college student roped into family holiday babysitting,Dehua,holiday elf,camp counselor,non-harmful,Quotation
2285,test,钵钵鸡,因魔性叫卖声走红的四川小吃梗。,"It refers to a catchy street-food chant meme that became popular online because of a hypnotic vendor-style call advertising a Sichuan snack, often repeated or remixed for its addictive rhythm.",Boboji street-food chant meme,bowl-bowl chicken,ice cream truck jingle,jingle stuck in my head,non-harmful,Quotation
2286,train,你真是饿了,讽刺某人低标准、没底线或饥不择食。,"It jokingly teases someone for having extremely low standards, implying they are so desperate or undiscerning that they will accept almost anything.",you must be desperate,you are really hungry,you should get something to eat,hangry,harmful,Quotation
2287,train,内娱嫂子,指内娱男明星的女友或妻子。,"In Chinese entertainment fandom slang, this refers to a Chinese male celebrity’s girlfriend or wife, often discussed by fans in relation to the star’s public image, relationships, or dating rumors.",fandom sister-in-law,domestic-entertainment sister-in-law,an older female fan in Chinese entertainment fandom,celebrity crush,non-harmful,Experience
2288,train,我怀疑你在开车,调侃对方话里有隐晦色情意味。,This phrase jokingly means that someone suspects the other person is making a dirty joke or hinting at something sexual beneath an otherwise ordinary statement.,That sounds like a dirty joke,I suspect you are driving,road rage,go to horny jail,non-harmful,Experience
2289,train,张万森下雪了,文艺式表达思念，“下雪了”暗示“我想你”。,"“Zhang Wansen, it’s snowing” is a poetic, indirect way to say “I miss you,” using the image of snowfall as a sentimental cue for longing and unspoken affection.",I miss you,"Zhang Wansen, it’s snowing", a snow reference,"the moon is beautiful, isn’t it",non-harmful,Quotation
2290,train,使用科技,调侃做作业时依赖搜题软件等技术手段。,"It jokingly refers to relying on technology such as homework-solving apps, search tools, or other shortcuts to complete assignments instead of working through the problems oneself.",using homework-solving apps as a shortcut,use technology,STEM education,"work smarter, not harder",non-harmful,Experience
2291,test,糊穿地心,饭圈夸张说法，形容人气暴跌、糊到极致。,"It is an exaggerated fandom phrase meaning someone or something has become extremely irrelevant or unpopular, with their fame or public attention falling so low that they seem completely forgotten.",flopped into oblivion,flop through the earth’s core,popularity has fallen badly,fell off,non-harmful,Experience
2292,train,汗流浃背了吧,嘲讽对手实力不行，被强势局面压得很狼狈。,"This phrase teases an opponent for being under pressure, implying they are overwhelmed by a stronger position or superior performance and are now struggling awkwardly because they cannot keep up.",feeling the pressure now?,"sweating through your shirt, huh",you just got ratioed,"nice try, buddy",non-harmful,Quotation
2293,train,当代华佗,短视频中用搞笑方式解决“疑难杂症”的医生式人物。,"A humorous miracle doctor figure who appears in short videos as a doctor-like character solving strange or difficult “medical” problems in an exaggerated, comic way.",modern-day miracle doctor,contemporary Hua Tuo,a funny modern doctor figure,WebMD moment,non-harmful,Stylistic device
2294,test,男人至死是少年,调侃男人永远热血、幼稚或保持童心。,"It jokingly means that men never fully grow out of boyishness, staying passionate, immature, or childlike no matter how old they become.",men are always boys at heart,men die as young boys,forever young,boys will be boys,non-harmful,Quotation
2295,test,遥遥领先,夸张表示优势明显、远超对手。,"It is an exaggerated way to describe someone or something as being far ahead of everyone else, with a clear and overwhelming advantage over competitors or peers.",miles ahead,leading by remote control,the early bird gets the worm,ahead of the curve,non-harmful,Quotation
2296,train,公主请上车,调侃式邀请或迎接，带一点夸张服务感。,"A jokingly formal invitation for someone to get in, treating them like royalty with exaggerated politeness and playful service.","your carriage awaits, princess","princess, please get in the car",please get in with royal treatment,your Uber is here,non-harmful,Quotation
2297,train,hhh,“哈哈哈”的拼音首字母，表示笑或浅笑。,"“hhh” is online laughter in Chinese initials, used like a shorthand for laughing, chuckling, or reacting with mild amusement in casual internet conversation.",haha / lol,the letters H-H-H,online crying,hmm,non-harmful,Abbreviation
2298,train,租给大学生,调侃狭小空间也能出租给预算有限的大学生。,It jokingly suggests that even an absurdly tiny or cramped space could be rented out to budget-limited university students desperate for cheap housing.,rent it to broke college students,college students for rent,Airbnb it as a capsule hotel,tiny house living,non-harmful,Experience
2299,train,子弹正中眉心,年轻时的选择在多年后产生深远影响。,"It describes the feeling when a choice made long ago suddenly reveals its powerful consequences years later, as if that past decision has finally hit you directly and painfully.",a past choice finally came back to hit me years later,the bullet hit right between the eyebrows,dodged a bullet,core memory unlocked,non-harmful,Quotation
2300,train,尊嘟假嘟,“真的假的”的可爱谐音，表示惊讶或疑问。,"It is a cutesy, playful way of saying “for real?” or “is that true?”, used to express surprise, disbelief, or a lighthearted question about whether something is genuine.",for real?,zundu jiadu,truth or dare,you must be joking,non-harmful,Homophonic pun
2301,train,嘴强王者,口头上很厉害，实际行动能力不足。,"A “someone who talks big but cannot perform” refers to a person who sounds highly capable, confident, or tough in conversation but lacks the real ability, action, or results to back up their words.",all talk and no action,mouth-strong king,smooth talker,trash talker,non-harmful,Homophonic pun
2302,train,水泥封心,感情受伤后不再轻易动心。,"It describes someone closing their heart after emotional hurt, becoming guarded and unwilling to fall in love or trust romantic feelings easily again.",closed off after heartbreak,cement-sealed heart,wear your heart on your sleeve,cold-hearted,non-harmful,Stylistic device
2303,train,如来,用模棱两可的话回应催促，表示可能正在来或还没来。,"It is a vague, noncommittal reply to someone asking whether something is coming, implying that it may be on the way or may not have arrived at all.",It may or may not be on its way,Tathagata,the Second Coming,I'm on my way,non-harmful,Quotation
2304,test,你很chill,形容一个人很酷、随性、淡定。,"It describes someone as relaxed, cool, easygoing, and unbothered, suggesting they stay calm and casual without getting stressed or overly affected by what is happening.",you’re so chill,you are very cold,Netflix and chill,good vibes only,non-harmful,Slang
2305,train,我父亲配享太庙,讽刺自大、摆出不可冒犯的姿态。,"Used sarcastically to mock someone who acts grandiose and untouchable, as if their status or importance is so elevated that ordinary criticism or disagreement should not apply to them.",acting like you’re above criticism,my father deserves a place in the ancestral temple,resting on one’s laurels,do you know who I am?,non-harmful,Quotation
2306,train,曹操盖饭,从愤怒到冷静接受现实的情绪反转。,"It describes an emotional reversal where someone starts out angry or resistant, then quickly calms down and accepts the reality of the situation.",speedrunning from anger to acceptance,Cao Cao rice bowl,"Et tu, Brute?",having a mood swing,non-harmful,Quotation
2307,train,女娲毕设,形容一个人各方面都非常完美。,"Describes someone so perfect in appearance, ability, personality, or overall qualities that they seem specially made as an exceptional final masterpiece rather than an ordinary person.",God’s finest creation,Nüwa’s graduation project,Pandora’s box,an overachiever,non-harmful,Stylistic device
2308,train,人菜瘾大,技术很差但特别爱玩。,"Describes someone who is bad at the game but addicted to playing, often continuing enthusiastically despite poor skill, repeated losses, or clearly being far less capable than other players.",terrible at the game but can't stop playing,"bad person, big addiction",practice makes perfect,skill issue,harmful,Experience
2309,train,纯爱战士,坚持纯真、专一、高尚爱情观的人。,"A “pure love warrior” is someone who firmly believes in pure, sincere love, valuing innocence, loyalty, and a noble, wholehearted view of romantic relationships.",pure-love warrior,a soldier made of pure love,knight in shining armor,hopeless romantic,non-harmful,Quotation
2310,test,画质不如原神,调侃某内容画质或审美被拿来和《原神》比较。,"Used jokingly to mock a piece of content by saying its graphics, visual quality, or aesthetic appeal are worse than Genshin Impact, often as a playful comparison rather than a serious technical critique.",worse-looking than Genshin Impact,painting quality unlike the Original God,Skyrim belongs to the Nords,console war,non-harmful,Quotation
2311,test,中了基因彩票,外貌或天赋遗传极好，像中了大奖。,"It means being born with excellent genes, such as exceptional looks or natural talent, as if one had won a lucky genetic lottery at birth.",won the genetic lottery,got hit by a gene lottery,born with a silver spoon,pretty privilege,non-harmful,Stylistic device
2312,train,秦始皇摸电线,“赢麻了”的谐音梗，表示赢得太多以至于麻木。,"It describes someone winning so much that one feels numb to the success, using a pun to exaggerate a state of repeated victories beyond normal excitement.",won so hard I’m numb,Qin Shi Huang touches an electric wire,won so much it feels unreal,shocking victory,non-harmful,Homophonic pun
2313,train,行走的50万,指可举报并获得奖金的危害国家安全人员。,"It describes someone viewed as basically a walking reward bounty, meaning a person suspected of endangering national security whose report or capture could supposedly earn the informer a cash reward.",walking bounty,walking five hundred thousand,a rich person walking around with cash,walking red flag,harmful,Experience
2314,train,孔乙己脱不下的长衫,高学历或身份想象难以转化为现实成功的压力。,"It describes the frustration of being trapped by an educated identity that no longer pays off, where degrees, status expectations, or self-image create pressure but fail to translate into real success.",overeducated and underemployed,Kong Yiji cannot take off his long gown,a scholar worried about changing clothes,ivory tower problem,non-harmful,Quotation
